vehicle_id,depart,arrival,duration,routeLength,waitingTime,waitingCount,timeLoss,departDelay
83,166.0,225.0,59.0,700.79,0.0,0,10.43,0.0
109,218.0,225.0,7.0,46.45,0.0,0,3.94,0.0
93,187.0,226.0,39.0,259.95,4.0,1,23.73,1.0
79,158.0,227.0,69.0,514.38,9.0,2,42.23,0.0
84,168.0,227.0,59.0,689.48,0.0,0,15.38,0.0
52,104.0,229.0,125.0,1496.43,0.0,0,27.47,0.0
81,162.0,230.0,68.0,689.16,4.0,1,32.19,0.0
65,130.0,235.0,105.0,1069.93,0.0,0,16.77,0.0
92,184.0,235.0,51.0,456.8,6.0,1,23.72,0.0
90,180.0,237.0,57.0,555.96,0.0,0,16.82,0.0
97,194.0,238.0,44.0,384.6,3.0,1,20.8,0.0
101,202.0,244.0,42.0,464.67,0.0,0,14.65,0.0
82,164.0,246.0,82.0,1135.02,0.0,0,15.39,0.0
106,214.0,247.0,33.0,236.9,0.0,0,16.56,2.0
113,227.0,248.0,21.0,180.56,0.0,0,9.56,1.0
99,200.0,249.0,49.0,468.9,0.0,0,16.66,2.0
104,208.0,250.0,42.0,368.61,1.0,1,7.72,0.0
114,228.0,256.0,28.0,222.93,1.0,1,15.99,0.0
88,176.0,260.0,84.0,1046.09,0.0,0,10.2,0.0
96,192.0,264.0,72.0,824.31,0.0,0,16.41,0.0
77,154.0,266.0,112.0,1419.58,0.0,0,25.2,0.0
130,264.0,266.0,2.0,5.45,0.0,0,1.76,4.0
122,244.0,267.0,23.0,259.31,0.0,0,9.21,0.0
108,216.0,270.0,54.0,507.4,1.0,1,25.42,0.0
115,230.0,275.0,45.0,517.88,1.0,1,17.55,0.0
111,222.0,276.0,54.0,568.8,0.0,0,7.92,0.0
121,242.0,278.0,36.0,283.11,0.0,0,18.68,0.0
128,256.0,280.0,24.0,418.76,0.0,0,6.59,0.0
107,214.0,284.0,70.0,563.46,2.0,1,27.88,0.0
133,266.0,284.0,18.0,251.05,0.0,0,6.79,0.0
98,196.0,285.0,89.0,1373.21,0.0,0,10.12,0.0
110,220.0,289.0,69.0,440.51,23.0,2,43.35,0.0
125,250.0,293.0,43.0,369.29,0.0,0,23.72,0.0
105,210.0,294.0,84.0,1190.75,0.0,0,13.47,0.0
131,262.0,295.0,33.0,328.84,0.0,0,15.17,0.0
118,236.0,299.0,63.0,362.46,10.0,2,41.17,0.0
102,204.0,301.0,97.0,1275.88,0.0,0,10.07,0.0
127,254.0,305.0,51.0,486.97,0.0,0,8.72,0.0
120,240.0,307.0,67.0,649.67,1.0,1,17.58,0.0
112,224.0,313.0,89.0,561.05,26.0,3,64.97,0.0
136,272.0,316.0,44.0,515.16,0.0,0,20.28,0.0
117,234.0,320.0,86.0,447.92,23.0,4,64.6,0.0
103,206.0,323.0,117.0,1256.94,12.0,1,32.03,0.0
142,284.0,324.0,40.0,309.74,1.0,1,20.47,0.0
124,248.0,328.0,80.0,567.5,29.0,1,51.35,0.0
