step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label
186,7,10.87,4.0,2,Low
187,7,11.47,5.0,1,Low
188,7,11.0,6.0,1,Low
189,6,7.64,7.0,2,Low
190,7,6.85,8.0,2,Low
191,7,5.66,10.0,2,Low
192,8,5.22,12.0,3,Low
193,8,5.9,11.0,1,Low
194,8,6.79,0.0,0,Low
195,8,7.81,0.0,0,Low
196,8,7.12,0.0,1,Low
197,8,7.38,0.0,0,Low
198,9,6.66,0.0,1,Low
199,9,7.75,0.0,0,Low
200,9,8.8,0.0,0,Low
201,9,9.6,0.0,0,Low
202,9,9.36,0.0,0,Low
203,9,8.06,0.0,2,Low
204,10,7.76,2.0,3,Low
205,10,8.02,3.0,2,Low
206,10,7.95,5.0,2,Low
207,10,8.84,4.0,1,Low
208,10,9.24,5.0,1,Low
209,10,9.74,6.0,1,Low
210,10,8.31,7.0,2,Low
211,10,8.54,8.0,1,Low
212,11,8.35,9.0,2,Low
213,11,7.86,10.0,2,Low
214,11,7.94,12.0,2,Low
215,9,7.64,14.0,2,Low
216,9,5.33,0.0,1,Low
217,9,5.38,0.0,0,Low
218,8,5.29,0.0,0,Low
219,9,5.24,0.0,1,Low
220,9,6.01,1.0,1,Low
221,9,6.81,0.0,0,Low
222,10,6.32,0.0,1,Low
223,10,6.38,1.0,1,Low
224,10,6.5,1.0,1,Low
225,9,6.23,2.0,2,Low
226,9,5.76,5.0,3,Low
227,9,5.52,6.0,2,Low
228,10,5.26,8.0,3,Low
229,10,6.1,4.0,1,Low
230,10,6.5,5.0,1,Low
231,10,7.29,0.0,1,Low
232,10,7.24,0.0,0,Low
233,8,7.62,0.0,0,Low
234,9,5.7,0.0,1,Low
235,9,6.33,1.0,1,Low
236,9,6.93,2.0,1,Low
237,9,7.79,1.0,1,Low
238,9,8.78,2.0,1,Low
239,9,10.39,0.0,0,Low
240,10,10.79,0.0,1,Low
241,11,11.0,0.0,1,Low
242,11,12.36,0.0,0,Low
243,11,12.61,0.0,1,Low
244,10,13.33,0.0,0,Low
245,10,13.72,0.0,0,Low
246,11,12.76,0.0,1,Low
247,11,12.94,0.0,0,Low
248,9,12.18,0.0,0,Low
249,10,10.99,0.0,1,Low
250,10,11.27,0.0,0,Low
251,10,11.62,0.0,0,Low
252,8,8.8,0.0,1,Low
253,8,9.62,1.0,1,Low
254,8,10.38,2.0,1,Low
255,9,9.54,0.0,1,Low
256,9,10.32,0.0,0,Low
257,9,11.11,2.0,2,Low
258,8,10.87,2.0,1,Low
259,9,10.85,3.0,2,Low
260,7,12.38,5.0,2,Low
261,8,12.06,0.0,1,Low
262,7,13.94,0.0,0,Low
263,6,13.54,0.0,0,Low
264,6,13.11,0.0,0,Low
265,6,13.38,0.0,0,Low
266,5,14.9,0.0,0,Low
267,7,10.18,0.0,2,Low
268,7,9.68,0.0,0,Low
269,6,6.49,0.0,0,Low
270,7,6.78,0.0,1,Low
271,6,6.61,1.0,1,Low
272,6,7.0,0.0,0,Low
273,5,7.93,0.0,0,Low
274,5,8.56,0.0,0,Low
275,5,9.44,0.0,0,Low
276,5,7.05,0.0,1,Low
277,5,8.43,0.0,0,Low
278,5,9.54,0.0,0,Low
279,6,8.8,0.0,1,Low
280,7,8.57,0.0,1,Low
281,6,9.88,0.0,0,Low
282,6,8.5,0.0,1,Low
283,6,8.57,0.0,0,Low
284,6,8.43,0.0,0,Low
285,7,7.77,1.0,2,Low
286,7,8.8,0.0,0,Low
287,7,9.77,0.0,0,Low
288,7,9.34,0.0,0,Low
289,7,9.22,1.0,1,Low
290,7,6.98,2.0,2,Low
291,8,6.82,3.0,2,Low
292,7,7.44,0.0,0,Low
293,7,7.97,0.0,0,Low
294,8,7.67,0.0,1,Low
295,6,6.59,0.0,0,Low
296,6,6.27,1.0,1,Low
297,7,5.95,2.0,2,Low
298,7,6.04,4.0,2,Low
299,7,6.81,6.0,2,Low
300,8,6.63,8.0,3,Low
301,8,7.24,11.0,3,Low
302,7,6.6,14.0,3,Low
303,7,6.18,17.0,3,Low
304,7,6.37,20.0,3,Low
305,6,5.73,24.0,4,Low
306,6,6.0,28.0,4,Low
307,6,5.84,32.0,4,Low
308,6,5.85,36.0,4,Low
309,6,5.98,40.0,4,Low
310,6,5.88,44.0,4,Low
311,6,5.89,48.0,4,Low
312,7,5.13,52.0,5,Low
313,7,5.31,56.0,4,Low
314,7,5.58,60.0,4,Low
315,8,5.1,64.0,5,Low
316,8,5.07,68.0,4,Low
317,8,5.25,72.0,4,Low
318,9,4.96,76.0,5,Low
319,9,5.5,80.0,4,Low
320,9,5.97,84.0,4,Low
321,9,5.84,88.0,4,Low
322,9,5.1,92.0,4,Low
323,9,4.83,97.0,5,Low
324,10,4.34,102.0,6,Low
325,10,4.54,107.0,5,Low
326,10,4.45,112.0,5,Low
327,11,4.2,117.0,6,Low
328,11,4.49,122.0,5,Low
329,11,4.55,127.0,5,Low
330,12,4.35,132.0,6,Low
331,11,5.03,101.0,4,Low
332,11,5.4,70.0,3,Low
333,10,4.72,44.0,2,Low
334,9,5.63,0.0,0,Low
335,10,4.78,0.0,1,Low
336,11,4.8,0.0,2,Low
337,11,4.96,2.0,2,Low
338,11,5.45,2.0,1,Low
339,12,5.48,4.0,3,Low
340,13,5.72,6.0,3,Low
341,11,6.26,9.0,3,Low
342,11,5.97,6.0,3,Low
343,11,6.35,3.0,1,Low
344,11,6.77,4.0,1,Low
345,11,7.53,5.0,1,Low
346,11,7.62,6.0,1,Low
347,11,7.57,7.0,2,Low
348,12,7.2,8.0,2,Low
349,12,7.89,9.0,1,Low
350,12,8.24,0.0,0,Low
351,12,8.01,0.0,0,Low
352,12,7.55,0.0,0,Low
353,13,7.04,1.0,2,Low
354,13,7.27,2.0,1,Low
355,12,6.31,4.0,2,Low
356,11,5.86,2.0,1,Low
357,13,4.75,0.0,2,Low
358,12,5.2,1.0,1,Low
359,12,4.63,4.0,3,Low
360,12,4.92,7.0,3,Low
361,12,3.5,11.0,5,Low
362,12,3.76,17.0,6,Low
363,13,3.78,16.0,5,Low
364,13,4.88,16.0,3,Low
365,12,5.66,15.0,2,Low
366,12,5.91,17.0,3,Low
367,12,6.11,9.0,1,Low
368,12,6.59,1.0,1,Low
369,12,7.47,2.0,1,Low
370,13,7.16,4.0,3,Low
371,13,7.48,6.0,2,Low
372,12,8.16,10.0,4,Low
373,12,8.09,14.0,4,Low
374,12,7.78,15.0,3,Low
375,12,7.27,18.0,4,Low
376,11,8.08,21.0,3,Low
377,11,8.71,24.0,3,Low
378,13,8.06,16.0,4,Low
379,13,8.68,9.0,2,Low
380,12,8.75,1.0,1,Low
381,13,7.45,3.0,4,Low
382,13,7.61,5.0,2,Low
383,12,7.74,4.0,2,Low
384,13,7.49,2.0,2,Low
385,13,7.51,1.0,1,Low
386,13,7.67,1.0,1,Low
387,13,7.1,3.0,3,Low
388,13,7.14,4.0,3,Low
389,14,6.26,7.0,4,Low
390,14,6.4,12.0,5,Low
391,13,6.84,18.0,6,Low
392,12,6.09,24.0,6,Low
393,13,6.37,24.0,6,Low
394,13,6.57,24.0,4,Low
395,13,6.49,17.0,2,Low
396,14,6.22,11.0,3,Low
397,13,7.46,14.0,3,Low
398,13,7.93,18.0,4,Low
399,15,6.98,22.0,6,Low
400,15,7.06,28.0,6,Low
401,15,7.81,17.0,4,Low
402,15,8.59,14.0,3,Low
403,15,9.16,10.0,2,Low
404,14,8.43,6.0,2,Low
405,14,8.31,8.0,3,Low
406,13,8.7,5.0,3,Low
407,12,9.17,4.0,2,Low
408,13,8.61,3.0,2,Low
409,13,8.8,4.0,1,Low
410,12,8.91,5.0,1,Low
411,13,7.84,6.0,3,Low
412,11,8.07,7.0,1,Low
413,11,8.74,0.0,0,Low
414,12,7.86,0.0,1,Low
415,11,8.04,0.0,0,Low
416,10,6.75,2.0,2,Low
417,11,5.89,4.0,3,Low
418,11,6.22,7.0,3,Low
419,11,6.64,7.0,3,Low
420,11,5.68,10.0,4,Low
421,11,6.09,11.0,3,Low
422,11,7.09,12.0,2,Low
423,10,7.49,14.0,3,Low
424,8,7.89,16.0,2,Low
425,8,8.34,8.0,1,Low
426,9,8.14,0.0,1,Low
427,9,8.8,0.0,0,Low
428,9,9.21,0.0,0,Low
429,9,7.62,0.0,1,Low
430,8,8.23,1.0,1,Low
431,8,8.75,3.0,2,Low
432,7,5.19,5.0,3,Low
433,6,3.8,7.0,2,Low
434,6,4.22,9.0,2,Low
435,7,4.51,11.0,3,Low
436,7,5.66,13.0,2,Low
437,6,6.27,7.0,1,Low
438,7,6.62,0.0,1,Low
439,7,7.34,1.0,1,Low
440,7,7.65,2.0,1,Low
441,7,7.25,3.0,1,Low
442,7,7.3,4.0,1,Low
443,7,7.25,5.0,1,Low
444,8,6.29,6.0,2,Low
445,8,7.17,7.0,1,Low
446,8,7.64,8.0,1,Low
447,8,8.17,9.0,1,Low
448,7,8.97,10.0,1,Low
449,7,10.03,11.0,1,Low
450,8,9.19,0.0,1,Low
451,7,10.14,1.0,1,Low
452,8,9.26,0.0,1,Low
453,8,10.58,0.0,0,Low
454,9,10.28,0.0,1,Low
455,9,10.85,1.0,1,Low
456,9,10.15,0.0,1,Low
457,10,9.08,0.0,1,Low
458,10,9.54,1.0,1,Low
459,10,9.75,0.0,1,Low
