step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label
816,8,15.47,0.0,0,Low
817,8,15.86,0.0,0,Low
818,7,17.45,0.0,0,Low
819,9,14.01,0.0,2,Low
820,9,13.97,0.0,0,Low
821,9,14.42,0.0,0,Low
822,10,13.42,0.0,1,Low
823,10,14.3,0.0,0,Low
824,10,14.99,0.0,0,Low
825,9,15.91,0.0,0,Low
826,10,14.93,0.0,1,Low
827,10,15.69,0.0,0,Low
828,11,14.11,0.0,1,Low
829,11,13.64,1.0,1,Low
830,11,13.39,2.0,1,Low
831,12,12.59,3.0,2,Low
832,12,12.69,4.0,1,Low
833,12,13.02,5.0,1,Low
834,11,13.14,6.0,2,Low
835,10,12.34,7.0,1,Low
836,10,12.03,8.0,1,Low
837,11,10.96,9.0,2,Low
838,11,11.17,11.0,2,Low
839,10,10.78,14.0,3,Low
840,10,10.78,17.0,3,Low
841,9,8.24,20.0,4,Low
842,9,8.15,23.0,3,Low
843,9,8.27,26.0,3,Low
844,9,7.79,29.0,3,Low
845,9,7.35,32.0,3,Low
846,10,6.33,36.0,5,Low
847,10,6.27,40.0,4,Low
848,9,5.75,34.0,3,Low
849,9,6.31,33.0,2,Low
850,9,6.41,35.0,2,Low
851,10,5.46,37.0,3,Low
852,10,5.12,0.0,0,Low
853,10,4.77,0.0,1,Low
854,10,5.18,1.0,1,Low
855,10,6.29,2.0,1,Low
856,10,6.39,1.0,1,Low
857,10,6.95,2.0,2,Low
858,10,7.07,3.0,2,Low
859,10,7.84,4.0,1,Low
860,10,7.6,5.0,1,Low
861,10,7.38,6.0,2,Low
862,10,8.18,0.0,0,Low
863,10,9.25,0.0,0,Low
864,11,9.3,0.0,1,Low
865,10,9.56,1.0,1,Low
866,10,10.34,2.0,1,Low
867,9,10.46,3.0,1,Low
868,9,11.23,1.0,1,Low
869,8,9.74,2.0,2,Low
870,9,8.44,4.0,3,Low
871,10,7.83,0.0,1,Low
872,10,8.34,0.0,0,Low
873,10,8.16,0.0,1,Low
874,10,8.46,0.0,0,Low
875,10,8.49,0.0,0,Low
876,11,7.55,1.0,2,Low
877,11,8.0,1.0,1,Low
878,11,8.42,2.0,1,Low
879,11,9.01,3.0,1,Low
880,10,8.81,4.0,1,Low
881,9,7.77,0.0,0,Low
882,10,7.19,0.0,1,Low
883,9,8.22,0.0,0,Low
884,8,7.8,0.0,0,Low
885,8,7.36,0.0,1,Low
886,7,7.67,1.0,1,Low
887,7,7.6,0.0,0,Low
888,9,6.14,1.0,3,Low
889,8,6.15,3.0,2,Low
890,7,5.06,5.0,2,Low
891,8,5.09,4.0,2,Low
892,8,6.0,5.0,1,Low
893,8,5.85,6.0,1,Low
894,8,6.4,7.0,1,Low
895,7,5.23,8.0,2,Low
896,6,5.19,9.0,1,Low
897,7,5.59,10.0,2,Low
898,6,6.71,0.0,0,Low
899,6,7.26,0.0,0,Low
900,7,7.12,0.0,1,Low
901,7,7.91,0.0,0,Low
902,7,8.71,1.0,1,Low
903,7,9.52,2.0,1,Low
904,7,9.24,3.0,1,Low
905,7,8.74,0.0,0,Low
906,8,7.81,0.0,1,Low
907,8,8.29,0.0,0,Low
908,8,8.35,0.0,0,Low
909,9,7.69,0.0,1,Low
910,8,5.98,0.0,0,Low
911,8,6.51,0.0,0,Low
912,9,6.43,0.0,1,Low
913,9,7.26,0.0,0,Low
914,9,8.15,0.0,0,Low
915,9,9.21,0.0,0,Low
916,9,8.9,0.0,1,Low
917,9,9.71,1.0,1,Low
918,10,8.82,0.0,1,Low
919,10,9.67,0.0,0,Low
920,10,10.59,0.0,0,Low
921,11,9.64,0.0,2,Low
922,10,9.48,0.0,0,Low
923,10,10.21,0.0,0,Low
924,11,9.82,0.0,1,Low
925,10,10.49,0.0,0,Low
926,9,10.46,0.0,0,Low
927,10,9.58,1.0,2,Low
928,10,9.99,0.0,0,Low
929,9,9.22,0.0,0,Low
930,10,7.94,0.0,1,Low
931,9,9.16,0.0,0,Low
932,8,9.43,0.0,0,Low
933,8,6.82,0.0,1,Low
934,8,7.45,0.0,0,Low
935,8,7.64,0.0,0,Low
936,7,6.03,0.0,0,Low
937,7,7.4,0.0,0,Low
938,7,7.91,0.0,0,Low
939,7,7.3,0.0,1,Low
940,7,8.1,2.0,2,Low
941,5,8.97,2.0,1,Low
942,6,8.28,3.0,2,Low
943,6,9.26,0.0,0,Low
944,6,10.46,0.0,0,Low
945,8,7.67,0.0,2,Low
946,7,9.91,0.0,0,Low
947,7,10.45,0.0,0,Low
948,8,8.81,0.0,1,Low
949,8,9.31,0.0,0,Low
950,8,10.37,0.0,0,Low
951,6,11.56,0.0,1,Low
952,6,12.61,0.0,0,Low
953,5,10.0,0.0,0,Low
954,6,8.0,0.0,1,Low
955,6,8.15,0.0,0,Low
956,6,9.39,0.0,0,Low
957,7,7.92,0.0,1,Low
958,7,8.78,0.0,0,Low
959,7,8.74,0.0,0,Low
960,8,8.3,1.0,2,Low
961,8,8.74,2.0,1,Low
962,7,9.57,3.0,1,Low
963,8,8.95,4.0,2,Low
964,8,9.34,5.0,1,Low
965,8,9.38,6.0,1,Low
966,9,8.29,7.0,2,Low
967,9,8.87,0.0,0,Low
968,9,8.98,0.0,0,Low
969,9,8.36,0.0,1,Low
970,9,9.32,0.0,0,Low
971,9,9.9,0.0,0,Low
972,7,8.22,0.0,0,Low
973,8,7.46,0.0,1,Low
974,8,7.0,0.0,0,Low
975,8,6.54,0.0,1,Low
976,7,8.22,0.0,0,Low
977,6,9.14,0.0,0,Low
978,6,7.24,0.0,1,Low
979,6,8.6,0.0,0,Low
980,6,9.15,0.0,0,Low
981,7,9.03,0.0,1,Low
982,6,10.37,0.0,0,Low
983,5,8.09,0.0,0,Low
984,6,6.54,0.0,1,Low
985,5,7.5,0.0,0,Low
986,5,8.39,0.0,0,Low
987,6,6.58,0.0,1,Low
988,6,6.92,1.0,1,Low
989,6,7.69,2.0,1,Low
990,7,7.66,0.0,1,Low
991,7,7.95,0.0,0,Low
992,7,8.77,0.0,0,Low
993,8,8.31,1.0,2,Low
994,8,9.18,2.0,1,Low
995,7,9.04,3.0,1,Low
996,8,8.12,0.0,1,Low
997,8,8.59,0.0,0,Low
998,8,8.71,0.0,0,Low
999,9,8.25,0.0,1,Low
