step,vehicle_count,avg_speed,total_waiting_time,stopped_vehicles,congestion_label,current_congestion,future_congestion
203,9,8.06,0.0,2,Low,Medium,Medium
204,10,7.76,2.0,3,Low,Medium,Medium
205,10,8.02,3.0,2,Low,Medium,Medium
206,10,7.95,5.0,2,Low,Medium,Medium
207,10,8.84,4.0,1,Low,Medium,Medium
208,10,9.24,5.0,1,Low,Medium,Medium
209,10,9.74,6.0,1,Low,Medium,Medium
210,10,8.31,7.0,2,Low,Medium,Medium
211,10,8.54,8.0,1,Low,Medium,Medium
212,11,8.35,9.0,2,Low,Medium,Medium
213,11,7.86,10.0,2,Low,Medium,Medium
214,11,7.94,12.0,2,Low,Medium,Medium
215,9,7.64,14.0,2,Low,Medium,Medium
216,9,5.33,0.0,1,Low,Medium,Medium
217,9,5.38,0.0,0,Low,Medium,Medium
218,8,5.29,0.0,0,Low,Medium,Medium
219,9,5.24,0.0,1,Low,Medium,Medium
220,9,6.01,1.0,1,Low,Medium,Medium
221,9,6.81,0.0,0,Low,Medium,Medium
222,10,6.32,0.0,1,Low,Medium,Medium
223,10,6.38,1.0,1,Low,Medium,Medium
224,10,6.5,1.0,1,Low,Medium,Medium
225,9,6.23,2.0,2,Low,Medium,Medium
226,9,5.76,5.0,3,Low,Medium,Medium
227,9,5.52,6.0,2,Low,Medium,Medium
228,10,5.26,8.0,3,Low,Medium,Medium
229,10,6.1,4.0,1,Low,Medium,Medium
230,10,6.5,5.0,1,Low,Medium,Medium
231,10,7.29,0.0,1,Low,Medium,Medium
232,10,7.24,0.0,0,Low,Medium,Medium
233,8,7.62,0.0,0,Low,Medium,Medium
234,9,5.7,0.0,1,Low,Medium,Medium
235,9,6.33,1.0,1,Low,Medium,Medium
236,9,6.93,2.0,1,Low,Medium,Medium
237,9,7.79,1.0,1,Low,Medium,Medium
238,9,8.78,2.0,1,Low,Medium,Medium
239,9,10.39,0.0,0,Low,Medium,Medium
240,10,10.79,0.0,1,Low,Medium,Medium
241,11,11.0,0.0,1,Low,Medium,Medium
242,11,12.36,0.0,0,Low,Medium,Medium
243,11,12.61,0.0,1,Low,Medium,Medium
244,10,13.33,0.0,0,Low,Medium,Medium
245,10,13.72,0.0,0,Low,Medium,Medium
246,11,12.76,0.0,1,Low,Medium,Medium
247,11,12.94,0.0,0,Low,Medium,Medium
248,9,12.18,0.0,0,Low,Medium,Medium
249,10,10.99,0.0,1,Low,Medium,Medium
250,10,11.27,0.0,0,Low,Medium,Medium
251,10,11.62,0.0,0,Low,Medium,Medium
252,8,8.8,0.0,1,Low,Medium,Medium
253,8,9.62,1.0,1,Low,Medium,Medium
254,8,10.38,2.0,1,Low,Medium,Medium
255,9,9.54,0.0,1,Low,Medium,Medium
256,9,10.32,0.0,0,Low,Medium,Medium
257,9,11.11,2.0,2,Low,Medium,Medium
258,8,10.87,2.0,1,Low,Medium,Medium
259,9,10.85,3.0,2,Low,Medium,Medium
260,7,12.38,5.0,2,Low,Medium,Medium
261,8,12.06,0.0,1,Low,Medium,Medium
262,7,13.94,0.0,0,Low,Medium,Medium
263,6,13.54,0.0,0,Low,Medium,Medium
264,6,13.11,0.0,0,Low,Medium,Medium
265,6,13.38,0.0,0,Low,Medium,Medium
266,5,14.9,0.0,0,Low,Medium,Medium
267,7,10.18,0.0,2,Low,Medium,Medium
268,7,9.68,0.0,0,Low,Medium,Medium
269,6,6.49,0.0,0,Low,Medium,Medium
270,7,6.78,0.0,1,Low,Medium,Medium
271,6,6.61,1.0,1,Low,Medium,Medium
272,6,7.0,0.0,0,Low,Medium,Medium
273,5,7.93,0.0,0,Low,Medium,Medium
274,5,8.56,0.0,0,Low,Medium,Medium
275,5,9.44,0.0,0,Low,Medium,Medium
276,5,7.05,0.0,1,Low,Medium,Medium
277,5,8.43,0.0,0,Low,Medium,Medium
278,5,9.54,0.0,0,Low,Medium,Medium
279,6,8.8,0.0,1,Low,Medium,Medium
